Location,Latitude,Longitude
Bozeman MT,45.677,-111.0429
Missoula MT,46.8721,-113.994
Davis CA,38.5449,-121.7405
Berkeley CA,37.8716,-122.2727
Stanford CA,37.424,-122.166077
Denver CO,39.7392,-104.9903
Golden CO,39.7555,-105.2211
Fort Myers FL,26.6406,-81.8723
Seattle WA,47.6062,-122.3321
Santa Barbara CA,34.4208,-119.6982
San Diego CA,32.7157,-117.1611
Riverside CA,33.9806,-117.3755
Boston MA,42.3601,-71.0589
Salt Lake City UT,40.7608,-111.891
Sacremento CA,38.5816,-121.4944
Los Angeles CA,34.0522,-118.2437
Portland OR,45.5231,-122.6765
Evaro MT,47.0362,-114.0874
Billing MT,45.787,-108.489
Butte MT,46.0038,-112.5348
Boise ID,43.618,-116.2416
Moscow ID,46.7324,-117.0002
Coeur D'Alene ID,47.6777,-116.7805
Atlanta GA,33.749,-84.388
New York City NY,40.7128,-74.006
Washington DC,38.9072,-77.0369
Spokane WA,47.6588,-117.426
Minneapolis MN,44.9778,-93.265
Grand Marais MN,47.7504,-90.3343
Duluth MN,46.7867,-92.1005
Ithaca NY,42.444,-76.5019
Madison WI,43.0731,-89.4012
